subject_id,minute,mean_rr_sec,median_rr_sec,mean_hr_bpm,median_hr_bpm,sdnn_sec,rmssd_sec,pnn50,cv_rr,n_rr_total,n_rr_valid,rr_invalid_fraction,feature_valid
c10,4,0.6648275862068975,0.5600000000000023,90.24896265560153,107.14285714285671,0.27423426754790886,0.2960091697421365,0.6785714285714286,0.41248930284695773,32,29,0.09375,1
c10,10,0.6363636363636364,0.5699999999999363,94.28571428571429,105.2631578947486,0.20046310020912422,0.21753160689885412,0.8,0.31501344318576663,16,11,0.3125,1
c10,11,0.8772463768115955,0.9400000000000546,68.39583677515272,63.82978723403885,0.24364803482972006,0.23958604005290426,0.5147058823529411,0.2777418536800043,69,69,0.0,1
c10,12,0.967741935483871,0.9900000000000091,62.0,60.60606060606005,0.05214794071468828,0.036123649217474664,0.19672131147540983,0.053886205405177884,62,62,0.0,1
c10,13,0.9381249999999994,0.9400000000000546,63.95736175882749,63.82978723403885,0.0634428877022502,0.04908690058991456,0.25396825396825395,0.0676273286632914,64,64,0.0,1
c10,14,0.885074626865671,0.8999999999999773,67.79089376053969,66.66666666666835,0.12981774093551832,0.10200267376174912,0.4393939393939394,0.14667434473321642,67,67,0.0,1
c10,15,0.9075757575757589,0.9099999999999682,66.1101836393989,65.93406593406824,0.08122259265198402,0.03949683531626782,0.18461538461538463,0.08949400859817926,66,66,0.0,1
c10,16,1.0215254237288132,1.0299999999999727,58.735689397710324,58.252427184467564,0.05307163536599334,0.04270992778072623,0.13793103448275862,0.05195331817809205,59,59,0.0,1
c10,17,0.9384375000000009,0.94500000000005,63.936063936063874,63.49206349206013,0.07612059667459072,0.043076159944410115,0.20634920634920634,0.08111418893063271,64,64,0.0,1
c10,18,0.9395312499999982,0.9900000000000091,63.86163312822231,60.60606060606005,0.14480890185191156,0.07133644853010837,0.19047619047619047,0.1541288827294588,64,64,0.0,1
c10,19,1.0018333333333354,1.009999999999991,59.890201297620905,59.40594059405994,0.048450277383440626,0.0398088653783656,0.15254237288135594,0.04836161442366381,60,60,0.0,1
c10,20,0.9883606557377044,1.0299999999999727,60.70658483994032,58.252427184467564,0.09661228920912601,0.05152669211192159,0.13333333333333333,0.09775003552424431,61,61,0.0,1
c10,21,1.019655172413791,1.0299999999999727,58.84342238755507,58.252427184467564,0.05470705131886193,0.04184348447467899,0.14035087719298245,0.053652502138890744,58,58,0.0,1
c10,22,1.048448275862072,1.0499999999999545,57.2274296990625,57.14285714285962,0.04807894546446718,0.034514172019273245,0.08771929824561403,0.04585724119288092,58,58,0.0,1
c10,23,1.048947368421052,1.0499999999999545,57.200200702458645,57.14285714285962,0.027495727624375407,0.027742437837060437,0.03571428571428571,0.026212685642906828,57,57,0.0,1
c10,24,1.0571929824561401,1.0599999999999454,56.754065715234,56.60377358490857,0.033421249974756234,0.033726843908085544,0.10714285714285714,0.0316131969558763,57,57,0.0,1
c10,25,1.0006666666666661,1.0299999999999727,59.960026648900765,58.252427184467564,0.0724830001499259,0.041292671816707475,0.1694915254237288,0.07243471034303058,60,60,0.0,1
c10,26,1.0576785714285717,1.0650000000000546,56.728009454668225,56.338028169011196,0.03789895999668343,0.032613438390257016,0.07272727272727272,0.03583220935023251,56,56,0.0,1
c10,27,1.075178571428572,1.0899999999999181,55.80468360737416,55.04587155963716,0.05239677545347752,0.03677944089741081,0.12727272727272726,0.0487330912704657,56,56,0.0,1
c10,28,1.0585964912280688,1.0499999999999545,56.67882001988738,57.14285714285962,0.04537300158886445,0.031282126343515695,0.125,0.04286146984695521,57,57,0.0,1
c10,29,1.028103448275864,1.0399999999999636,58.359885963441116,57.69230769230971,0.040887389063031555,0.029794618612192268,0.07017543859649122,0.03976972271768951,58,58,0.0,1
c10,30,0.7607594936708849,0.7799999999999727,78.86855241264571,76.92307692307962,0.14881387576517063,0.08873036077394499,0.32051282051282054,0.19561224934190513,79,79,0.0,1
c10,31,0.8841176470588219,0.8500000000001364,67.86427145708595,70.58823529410631,0.10813528417650237,0.04888304653769695,0.1791044776119403,0.12230870465738813,68,68,0.0,1
c10,32,1.0133898305084779,1.0599999999999454,59.20722528850959,56.60377358490857,0.11363295675249135,0.05618626657575119,0.15517241379310345,0.11213153451073705,59,59,0.0,1
c10,33,1.0270689655172403,1.0200000000000955,58.418667114319355,58.823529411759196,0.030893627384081614,0.025717766403270715,0.017543859649122806,0.030079408901741406,58,58,0.0,1
c10,34,1.01728813559322,1.0299999999999727,58.980339886704456,58.252427184467564,0.058422672396189486,0.034987682561645195,0.10344827586206896,0.057429817916947366,59,59,0.0,1
c10,35,1.0529824561403505,1.0599999999999454,56.98100633122295,56.60377358490857,0.02337313111556122,0.026254251356420063,0.07142857142857142,0.022197075534604965,57,57,0.0,1
c10,36,1.056842105263154,1.0599999999999454,56.772908366534075,56.60377358490857,0.026936293541869282,0.03105295017039862,0.08928571428571429,0.025487528749776805,57,57,0.0,1
c10,37,1.0446551724137956,1.0499999999997272,57.43522033338821,57.14285714287199,0.0286672083123848,0.03389871394339808,0.10526315789473684,0.027441790429415986,58,58,0.0,1
c10,38,1.000999999999999,1.0099999999997635,59.94005994006,59.405940594073314,0.05933815761505204,0.047335800047091585,0.288135593220339,0.059278878736315786,60,60,0.0,1
c10,39,1.0468421052631591,1.0599999999999454,57.31523378582195,56.60377358490857,0.07377954359193765,0.047846480688638,0.17857142857142858,0.07047819649305248,57,57,0.0,1
