subject_id,minute,mean_rr_sec,median_rr_sec,mean_hr_bpm,median_hr_bpm,sdnn_sec,rmssd_sec,pnn50,cv_rr,n_rr_total,n_rr_valid,rr_invalid_fraction,feature_valid
b02,0,0.8841791044776119,0.8999999999999986,67.85955435516543,66.66666666666677,0.04380221572267985,0.020150945537631592,0.0,0.049539980645164586,67,67,0.0,1
b02,1,0.9152307692307692,0.9200000000000017,65.55723651033787,65.2173913043477,0.03929486656627718,0.02076655965729469,0.0,0.04293438101879336,65,65,0.0,1
b02,2,0.8838235294117647,0.9000000000000057,67.88685524126456,66.66666666666625,0.05677999994124238,0.024433888871262348,0.04477611940298507,0.0642435939435022,68,68,0.0,1
b02,3,0.8885294117647061,0.9050000000000011,67.52730883813305,66.29834254143638,0.07178460122326466,0.024646758135039,0.05970149253731343,0.08079034894376028,68,68,0.0,1
b02,4,0.8688405797101447,0.8700000000000045,69.05754795663054,68.96551724137895,0.041463528689966424,0.020000000000001038,0.014705882352941176,0.04772282701597471,69,69,0.0,1
b02,5,0.8537142857142855,0.8599999999999568,70.28112449799198,69.76744186046862,0.022274403882550566,0.016106529416830002,0.0,0.026091169206468205,70,70,0.0,1
b02,6,0.8372222222222226,0.8649999999999807,71.66556071665558,69.36416184971253,0.08788953088999038,0.020861717752995,0.028169014084507043,0.10497754187258301,72,72,0.0,1
b02,7,0.8326388888888887,0.839999999999975,72.06005004170143,71.42857142857356,0.0534181763536081,0.01830877569925156,0.0,0.0641552743529572,72,72,0.0,1
b02,8,0.873913043478261,0.8700000000000045,68.65671641791043,68.96551724137895,0.04055560421505606,0.02152290161939351,0.029411764705882353,0.04640691029583528,69,69,0.0,1
b02,9,0.8736764705882348,0.8700000000000045,68.67530718734224,68.96551724137895,0.030998527252675028,0.01988774467000864,0.04477611940298507,0.03548055635721096,68,68,0.0,1
b02,10,0.8526760563380277,0.8500000000000227,70.36669970267596,70.58823529411576,0.034307756160917344,0.019530196400157428,0.0,0.04023539292079836,71,71,0.0,1
b02,11,0.897313432835821,0.8999999999999773,66.86626746506985,66.66666666666835,0.059226890124288355,0.024556675325258723,0.045454545454545456,0.06600468460291616,67,67,0.0,1
b02,12,0.8488571428571439,0.8599999999999568,70.68327162571516,69.76744186046862,0.03503798589369205,0.01518007847834256,0.0,0.041276657902363525,70,70,0.0,1
b02,13,0.8860294117647058,0.8799999999999955,67.71784232365145,68.18181818181853,0.05403535895651439,0.02406458970380086,0.029850746268656716,0.06098596529531915,68,68,0.0,1
b02,14,0.8542857142857136,0.8400000000000318,70.23411371237464,71.42857142856872,0.0398755829023383,0.014546277974056741,0.0,0.04667710373183417,70,70,0.0,1
b02,15,0.839583333333334,0.8400000000000318,71.46401985111656,71.42857142856872,0.0404703856254908,0.016657274348819067,0.0,0.04820294069537362,72,72,0.0,1
b02,16,0.8705797101449266,0.8799999999999955,68.91959380722497,68.18181818181853,0.04668051797847006,0.01981532383847708,0.0,0.05362003896311699,69,69,0.0,1
b02,17,0.863913043478261,0.8699999999998909,69.45143432310014,68.96551724138796,0.03365995138685664,0.018068497121637796,0.0,0.03896219838438362,69,69,0.0,1
b02,18,0.8374999999999994,0.8299999999999272,71.64179104477617,72.28915662651237,0.06447512895311161,0.020861717752996153,0.028169014084507043,0.07698522860073034,72,72,0.0,1
b02,19,0.8879104477611942,0.8900000000001,67.57438224911749,67.41573033707107,0.033145104004872826,0.01825741858353988,0.015151515151515152,0.03732933212853385,67,67,0.0,1
b02,20,0.8718840579710156,0.8700000000001182,68.81648936170204,68.96551724136994,0.037269896475450016,0.017063893769845587,0.0,0.042746390571909036,69,69,0.0,1
